code_insee;val_ind;conc_pm10;conc_pm25;conc_no2;conc_so2;conc_o3;poll_resp;date_run;date_ech
45336;4;16.9;9.3;17.9;0.3;172.5;o3;15/06/2023;15/06/2023
45248;4;19;10.6;18.7;0.4;158.1;o3;15/06/2023;15/06/2023
36095;4;12.8;8.2;15.7;0.1;146.9;o3;15/06/2023;15/06/2023
18256;4;15.8;8.5;17.6;0.2;147.4;o3;15/06/2023;15/06/2023
37079;4;16.3;9.8;17.1;0.2;145.2;o3;15/06/2023;15/06/2023
41220;4;17.3;9.9;19.7;0.3;157.5;o3;15/06/2023;15/06/2023
28086;4;19.4;11;16.4;0.2;166;o3;15/06/2023;15/06/2023
18066;4;15.8;9.1;15.6;0.1;144;o3;15/06/2023;15/06/2023
41007;4;17.2;10.1;18.1;0.2;144.5;o3;15/06/2023;15/06/2023
45165;4;17.1;8.5;20.1;0.6;157.9;o3;15/06/2023;15/06/2023
18142;4;14.5;8.9;17.4;0.1;145.1;o3;15/06/2023;15/06/2023
45240;4;22.5;12.1;23.1;0.6;180.5;o3;15/06/2023;15/06/2023
37269;4;16.5;9.5;16.7;0.2;145.5;o3;15/06/2023;15/06/2023
45214;4;21.1;11.1;21.6;0.5;179.4;o3;15/06/2023;15/06/2023
18128;4;15.9;9.3;16.6;0.1;144.6;o3;15/06/2023;15/06/2023
36032;4;14.1;8.9;17;0.1;143.5;o3;15/06/2023;15/06/2023
18161;4;14.8;8.7;14.4;0.1;144.6;o3;15/06/2023;15/06/2023
45154;4;19.1;10.4;22.6;0.4;164.9;o3;15/06/2023;15/06/2023
37212;4;17.1;10;20.5;0.2;145.5;o3;15/06/2023;15/06/2023
37083;4;17.3;10.3;21.5;0.3;148.9;o3;15/06/2023;15/06/2023
37134;4;17.2;9.9;19.5;0.3;147.2;o3;15/06/2023;15/06/2023
37005;4;16.8;9.8;19.3;0.2;144.5;o3;15/06/2023;15/06/2023
37121;4;16;9.7;16.7;0.3;144.7;o3;15/06/2023;15/06/2023
41128;4;17.1;10.1;22;0.2;148;o3;15/06/2023;15/06/2023
41260;4;17;9.9;16.2;0.1;155.5;o3;15/06/2023;15/06/2023
28245;4;21.6;12;20.8;0.4;175.4;o3;15/06/2023;15/06/2023
28041;4;21;11.7;18.8;0.3;174.3;o3;15/06/2023;15/06/2023
18257;4;15.8;8.4;19.2;0.3;151.4;o3;15/06/2023;15/06/2023
45105;4;17.4;8.7;20.3;0.5;161.4;o3;15/06/2023;15/06/2023
45027;4;18.4;9.4;18.8;0.5;179.7;o3;15/06/2023;15/06/2023
45151;4;19.6;9.9;18.5;0.5;177.4;o3;15/06/2023;15/06/2023
28283;4;19.9;11.1;18.3;0.4;174.6;o3;15/06/2023;15/06/2023
37185;4;17.1;10.1;20;0.2;144.3;o3;15/06/2023;15/06/2023
41265;4;17.8;10.4;15.8;0.2;145.6;o3;15/06/2023;15/06/2023
41201;4;17.6;10.2;16.6;0.2;144.4;o3;15/06/2023;15/06/2023
36122;4;15.7;9.2;18.4;0.1;154.6;o3;15/06/2023;15/06/2023
45271;4;15.4;8.5;19.8;0.3;167.2;o3;15/06/2023;15/06/2023
41118;4;15.6;9.8;15.2;0.1;156.4;o3;15/06/2023;15/06/2023
37142;4;17.1;10.1;19;0.2;144.3;o3;15/06/2023;15/06/2023
37162;4;16.8;9.9;18.5;0.2;146.3;o3;15/06/2023;15/06/2023
28269;4;22.2;12.4;23;0.5;176.7;o3;15/06/2023;15/06/2023
18032;4;15.6;8.3;19;0.2;149;o3;15/06/2023;15/06/2023
45070;4;14.8;7.9;18.5;0.4;156.7;o3;15/06/2023;15/06/2023
45039;4;17.1;9.3;19.6;0.4;176.7;o3;15/06/2023;15/06/2023
41226;4;16.9;10;19.1;0.2;146.5;o3;15/06/2023;15/06/2023
28256;4;20.1;11.2;18.2;0.3;175.1;o3;15/06/2023;15/06/2023
